Name,State,Notes,Created,Runtime,no_mask_diagonal,no_vo_rope,untie_attn_weights,untie_ffn_weights,untie_layerwise_weights,use_ffn_after_attn,use_gated_ffn,use_rms_norm,use_single_message_attn,use_std_residual,eval/loss,eval/accuracy
noble-sweep-102,finished,-,2024-10-15T18:36:50.000Z,7424,False,False,True,False,False,True,True,False,False,False,3.87446093559265,0.387691603752001
skilled-sweep-258,finished,-,2024-10-17T16:58:20.000Z,5958,False,True,True,True,True,False,False,False,True,False,3.89114952087402,0.383344772363303
classic-sweep-345,finished,-,2024-10-18T17:52:57.000Z,7052,False,True,True,True,False,True,True,False,False,False,3.89900302886962,0.381674673987645
swift-sweep-48,finished,-,2024-10-15T01:06:01.000Z,7467,False,False,True,False,True,True,True,False,False,False,3.90833163261413,0.382521162205444
dazzling-sweep-286,finished,-,2024-10-18T01:15:20.000Z,5880,True,False,True,True,True,False,True,False,True,False,3.9138023853302,0.38274994280485
curious-sweep-328,finished,-,2024-10-18T14:06:28.000Z,5684,False,True,True,True,True,False,True,False,True,False,3.95488333702087,0.376870281400137
fresh-sweep-301,finished,-,2024-10-18T05:41:36.000Z,6353,False,False,True,False,False,True,False,False,True,False,3.95697045326232,0.378220086936627
rare-sweep-130,finished,-,2024-10-16T02:24:03.000Z,5587,True,True,True,True,False,False,True,False,True,False,3.9659571647644,0.378975062914664
dazzling-sweep-113,finished,-,2024-10-15T21:56:25.000Z,7359,True,False,True,False,False,True,True,False,False,False,3.97594571113586,0.375406085563944
golden-sweep-196,finished,-,2024-10-16T22:05:03.000Z,6339,True,False,True,True,False,True,False,False,True,False,4.00238847732543,0.374719743765728
valiant-sweep-92,finished,-,2024-10-15T15:30:34.000Z,6391,True,False,True,False,False,True,False,False,True,False,4.01472520828247,0.374468085106382
ethereal-sweep-38,finished,-,2024-10-14T21:55:32.000Z,6055,False,False,True,False,False,True,True,False,True,False,4.02348375320434,0.370075497597803
icy-sweep-324,finished,-,2024-10-18T12:55:48.000Z,6158,False,True,True,False,False,True,False,False,True,False,4.03668022155761,0.367604667124227
fine-sweep-39,finished,-,2024-10-14T22:16:02.000Z,5685,True,True,True,False,True,False,True,False,True,False,4.05311155319213,0.366003202928391
vague-sweep-311,finished,-,2024-10-18T09:06:58.000Z,6172,False,True,True,True,False,True,False,False,True,False,4.06599140167236,0.366437886067261
golden-sweep-63,finished,-,2024-10-15T05:05:50.000Z,6144,False,True,True,True,False,True,False,False,True,False,4.06599140167236,0.366437886067261
dainty-sweep-148,finished,-,2024-10-16T07:43:43.000Z,6114,True,False,True,False,False,True,True,False,True,False,4.09012365341186,0.364012811713566
avid-sweep-385,finished,-,2024-10-19T06:12:29.000Z,6256,True,True,True,True,True,True,False,False,True,False,4.11503934860229,0.358956760466712
grateful-sweep-1,finished,-,2024-10-14T10:52:25.000Z,6611,True,False,True,False,True,True,True,False,True,False,4.11517238616943,0.362045298558682
lively-sweep-103,finished,-,2024-10-15T18:46:08.000Z,5969,False,True,True,True,True,True,True,False,True,False,4.15874767303466,0.354243880118965
dashing-sweep-58,finished,-,2024-10-15T03:57:32.000Z,5889,False,True,True,False,False,True,True,False,True,False,4.16398382186889,0.354678563257835
rural-sweep-332,finished,-,2024-10-18T14:59:03.000Z,5943,True,True,True,False,True,True,True,False,True,False,4.21801233291626,0.350583390528483
